id,Nom du terril,Adresse exacte,Espace protégé ?,Commune,Organisme gestionnaire,Adresse organisme,Contact principal,Email,Téléphone,Déjà contacté ?,Prochaine relance,Gare la plus proche,Commune de la gare,Distance à pieds,Notes,Photo du terril
126,"Terril n°86, 7 de Dourges",,UNESCO (à vérifier),Montigny-en-Gohelle,,,,,,,,,,,,
127,"Terril n°87, Lavoir Hénin Est",,UNESCO (à vérifier),Dourges,,,,,,,,,,,,
128,"Terril n°88, Bois de Boulogne parc à stock",,UNESCO (à vérifier),Harnes,,,,,,,,,,,,
129,"Terril n°89, 3 Est de Dourges",,UNESCO (à vérifier),Hénin-Beaumont,,,,,,,,,,,,
130,"Terril n°90, 6 Est de Dourges",,UNESCO (à vérifier),Hénin-Beaumont,,,,,,,,,,,,
131,"Terril n°91, 6 - 7 de Drocourt",,UNESCO (à vérifier),Hénin-Beaumont,,,,,,,,,,,,
132,"Terril n°92, Lavoir Hénin Ouest",,UNESCO (à vérifier),Hénin-Beaumont et Dourges,,,,,,,,,,,,
133,"Terril n°93, 21 Nord de Courrières",,UNESCO (à vérifier),Harnes,,,,,,,,,,,,
134,"Terril n°94, Lavoir de Fouquières",,UNESCO (à vérifier),Noyelles sous Lens,,,,,,,,,,,,
135,"Terril {{n°}}94A, Lavoir de Fouquières",,UNESCO (à vérifier),Noyelles sous Lens,,,,,,,,,,,,
136,"Terril n°95, 6 Sud de Courrières",,UNESCO (à vérifier),Fouquières-lès-Lens,,,,,,,,,,,,
137,"Terril n°95A, 6 Sud de Courrières",,UNESCO (à vérifier),Fouquières-lès-Lens,,,,,,,,,,,,
138,"Terril n°96, 5 Ouest de Courrières",,UNESCO (à vérifier),Noyelles-sous-Lens,,,,,,,,,,,,
139,"Terril n°97, 4 - 5 Sud de Drocourt",,UNESCO (à vérifier),Méricourt,,,,,,,,,,,,
140,"Terril n°98, 24 Nord de Courrières",,UNESCO (à vérifier),Estevelles,,,,,,,,,,,,
141,"Terril n°99, Centrale de Courrières",,UNESCO (à vérifier),Courrières,,,,,,,,,,,,
142,"Terril n°100, Décharge Marais de Fouquières",,UNESCO (à vérifier),Fouquières,,,,,,,,,,,,
143,"Terril n°101, Lavoir de Drocourt",,UNESCO (à vérifier),Hénin-Beaumont,,,,,,,,,,,,
144,"Terril n°102, 4 Est de Dourges",,UNESCO (à vérifier),Noyelles-Godault,,,,,,,,,,,,
145,"Terril n°103, 13 Ouest de Courrières Nord",,UNESCO (à vérifier),Avion,,,,,,,,,,,,
146,"Terril {{n°}}103A, 13 Ouest de Courrières Sud",,UNESCO (à vérifier),Avion et Sallaumines,,,,,,,,,,,,
147,"Terril n°104, 10 Sud de Courrières sud",,UNESCO (à vérifier),Billy-Montigny,,,,,,,,,,,,
148,"Terril n°104A, 10 Sud de Courrières nord",,UNESCO (à vérifier),Billy-Montigny,,,,,,,,,,,,
149,"Terril n°105, 6 bis de Dourges Est",,UNESCO (à vérifier),Hénin-Beaumont et Billy-Montigny,,,,,,,,,,,,
150,"Terril n°106, 23 de Courrières",,UNESCO (à vérifier),Noyelles-sous-Lens,,,,,,,,,,,,
151,"Terril n°107, 4 d'Oignies",,UNESCO (à vérifier),Carvin,,,,,,,,,,,,
152,"Terril n°107A, Aire de stock du 4",,UNESCO (à vérifier),Libercourt,,,,,,,,,,,,
153,"Terril n°108, 7 d'Oignies",,UNESCO (à vérifier),Ostricourt,,,,,,,,,,,,
154,"Terril n°109, 8 de Dourges Nord",,UNESCO (à vérifier),Évin-Malmaison,,,,,,,,,,,,
155,"Terril n°110, 9 de Dourges",,UNESCO (à vérifier),Oignies,,,,,,,,,,,,
156,"Terril n°111, 14 de Carvin Sud",,UNESCO (à vérifier),Carvin,,,,,,,,,,,,
157,"Terril n°111A, 14 de Carvin Nord",,UNESCO (à vérifier),Carvin,,,,,,,,,,,,
158,"Terril n°112, 5 d'Oignies",,UNESCO (à vérifier),Libercourt,,,,,,,,,,,,
159,"Terril n°113, 8 de Dourges Sud",,UNESCO (à vérifier),Évin-Malmaison,,,,,,,,,,,,
160,"Terril n°113A, Cavalier du 8 de Dourges",,UNESCO (à vérifier),Évin-Malmaison,,,,,,,,,,,,
161,"Terril n°114, 13 d'Oignies Ouest",,UNESCO (à vérifier),Carvin,,,,,,,,,,,,
162,"Terril n°114A, 13 d'Oignies Est",,UNESCO (à vérifier),Carvin,,,,,,,,,,,,
163,"Terril n°115, 2 du téléphérique",,UNESCO (à vérifier),Libercourt,,,,,,,,,,,,
164,"Terril n°115A, 2 d'Oignies",,UNESCO (à vérifier),Libercourt,,,,,,,,,,,,
165,"Terril n°116, 10 d'Oignies",,UNESCO (à vérifier),Dourges,,,,,,,,,,,,
166,"Terril n°117, 10 d'Oignies",,UNESCO (à vérifier),Dourges,,,,,,,,,,,,
167,"Terril n°118, 1 d'Oignies",,UNESCO (à vérifier),Oignies,,,,,,,,,,,,
168,"Terril n°119, 6 d'Oignies Sud",,UNESCO (à vérifier),Ostricourt,,,,,,,,,,,,
169,"Terril n°120, 6 d'Oignies Nord",,UNESCO (à vérifier),Ostricourt,,,,,,,,,,,,
170,"Terril n°121, 11 d'Oignies",,UNESCO (à vérifier),Carvin,,,,,,,,,,,,
171,"Terril n°122, 10 de l'Escarpelle Est",,UNESCO (à vérifier),Leforest,,,,,,,,,,,,
172,"Terril n°122A, 10 de l'Escarpelle Ouest",,UNESCO (à vérifier),Leforest,,,,,,,,,,,,
173,"Terril n°123, Escarpelle ancien plat",,UNESCO (à vérifier),Roost-Warendin,,,,,,,,,,,,
174,"Terril n°124, 1 de Flines Est",,UNESCO (à vérifier),Flines-lez-Raches,,,,,,,,,,,,
175,"Terril n°124A, 1 de Flines Centre",,UNESCO (à vérifier),Flines-lez-Raches,,,,,,,,,,,,
176,"Terril n°124B, 1 de Flines Ouest",,UNESCO (à vérifier),Flines-lez-Raches,,,,,,,,,,,,
177,"Terril n°125, Sainte Marie Est",,UNESCO (à vérifier),Auberchicourt,,,,,,,,,,,,
178,"Terril n°125A, Sainte Marie Ouest",,UNESCO (à vérifier),Auberchicourt,,,,,,,,,,,,
179,"Terril n°126, Saint Louis",,UNESCO (à vérifier),Charleroi,,,,,,,,,,,,
180,"Terril n°127, Traisnel Est",,UNESCO (à vérifier),Aniche,,,,,,,,,,,,
181,"Terril n°127A, Traisnel Ouest",,UNESCO (à vérifier),Aniche,,,,,,,,,,,,
182,"Terril n°128, 7 bis de l'Escarpelle",,UNESCO (à vérifier),Courcelles-lès-Lens,,,,,,,,,,,,
183,"Terril n°129, 2 d'Azincourt",,UNESCO (à vérifier),Anzincourt,,,,,,,,,,,,
184,"Terril n°130, Pas de la Ville Est",,UNESCO (à vérifier),Leforest,,,,,,,,,,,,
185,"Terril n°130A, Pas de la Ville Ouest",,UNESCO (à vérifier),Leforest,,,,,,,,,,,,
186,"Terril n°131, Fénelon",,UNESCO (à vérifier),Loos-en-Gohelle,,,,,,,,,,,,
187,"Terril n°132, d'Aoust",,UNESCO (à vérifier),Aniche,,,,,,,,,,,,
188,"Terril n°133, Dechy",,UNESCO (à vérifier),Hénin-Beaumont,,,,,,,,,,,,
189,"Terril n°134, Camp de la Centrale Est",,UNESCO (à vérifier),Sin-le-Noble,,,,,,,,,,,,
190,"Terril n°134A, Camp de la Centrale Ouest",,UNESCO (à vérifier),Sin-le-Noble,,,,,,,,,,,,
191,"Terril n°135, Sébastopol",,UNESCO (à vérifier),Erchin,,,,,,,,,,,,
192,"Terril n°136, Roost Lains Ouest",,UNESCO (à vérifier),Roost-Warendin,,,,,,,,,,,,
193,"Terril n°136A, Roost Lains Est",,UNESCO (à vérifier),Roost-Warendin,,,,,,,,,,,,
194,"Terril n°137, Bernicourt",,UNESCO (à vérifier),Bernicourt,,,,,,,,,,,,
195,"Terril n°138, 9 de l'Escarpelle",,UNESCO (à vérifier),Roost-Warendin,,,,,,,,,,,,
196,"Terril n°139, Paturelles",,UNESCO (à vérifier),Roost-Warendin,,,,,,,,,,,,
197,"Terril n°140, Marais du Vivier Ouest",,UNESCO (à vérifier),Auby,,,,,,,,,,,,
198,"Terril n°140A, Marais du Vivier Est",,UNESCO (à vérifier),Auby,,,,,,,,,,,,
199,"Terril n°141, 1 Nouveau Est",,UNESCO (à vérifier),Roost-Warendin,,,,,,,,,,,,
200,"Terril n°142, 8 de l'Escarpelle",,UNESCO (à vérifier),Auby,,,,,,,,,,,,
201,"Terril n°143, Germinies Sud",,UNESCO (à vérifier),Pecquencourt et Lallaing,,,,,,,,,,,,
202,"Terril n°143A, Germinies Nord",,UNESCO (à vérifier),Flines-lez-Râches et Marchiennes,,,,,,,,,,,,
203,"Terril n°144, Rieulay",,UNESCO (à vérifier),Rieulay,,,,,,,,,,,,
204,"Terril n°145, 7 de Courcelles",,UNESCO (à vérifier),Courcelles,,,,,,,,,,,,
205,"Terril n°146, Centrale de Dechy",,UNESCO (à vérifier),Dechy,,,,,,,,,,,,
206,"Terril n°147, Casimir Périer Ouest",,UNESCO (à vérifier),Somain,,,,,,,,,,,,
207,"Terril n°148, Casimir Périer Est",,UNESCO (à vérifier),Somain et Fenain,,,,,,,,,,,,
